Initial Setting;number of classes;Number of attributes;Number of references;Max hierarchical concatenation;Max DIT;Maintainability;Understandability;Complexity;Reusability;
http://www.hishidama.jp/xtext/dmdl_editor/dmdl;25.0;28.0;14.0;1.0;10.0;15.6;1.12;5.12;0.1764706;
http://www.informatik.hu-berlin.de/sam/modifications;4.0;1.0;5.0;1.0;1.0;2.4;1.5;1.5;0.5;
http://www.niu.name/guita/uisut/1.0;16.0;18.0;12.0;2.0;3.0;10.2;2.25;19.25;0.6296296;
platform:/resource/uk.ac.diamond.tomography.reconstruction.parameters/model/hm.xsd;78.0;79.0;201.0;0.0;2.0;72.0;1.0;1.0;0.0;
urn:openscada:configurator:sec;10.0;7.0;11.0;1.0;2.0;6.2;1.6;5.6;0.5135135;
http://kieler.cs.cau.de/annotations;11.0;3.0;7.0;4.0;1.0;5.2;3.5454545;4.5454545;0.6666667;
http://www.bolton.ac.uk/archimate;100.0;17.0;36.0;10.0;2.0;33.0;8.33;18.33;0.9075044;
http://net.paissad.waqtsalat/locationsprovider/1.0;4.0;3.0;7.0;1.0;1.0;3.2;1.75;7.75;0.0;
http://mit.bme.hu/mdsd/appstore/customer-behaviour;6.0;11.0;11.0;0.0;1.0;5.8;1.0;19.0;0.0;
platform:/resource/org.uppaal.xml/model/flat11.xsd;14.0;29.0;35.0;0.0;2.0;16.0;1.0;1.0;0.0;
http://www.eclipselabs.org/swedit/jenarules/JenaRules;18.0;12.0;10.0;2.0;2.0;8.8;1.7222222;2.7222223;0.083333336;
http://www.planet-lab.org;6.0;5.0;30.0;1.0;3.0;9.0;1.1666666;5.1666665;0.22222222;
flow_diagrams_with_edge;4.0;6.0;2.0;1.0;1.0;2.8;1.25;13.25;0.2;
http://www.enseeiht.fr/PDL2;8.0;7.0;7.0;1.0;2.0;5.0;1.25;3.25;0.0;
http://model.vortex;28.0;36.0;196.0;1.0;2.0;52.6;1.9642857;34.964287;0.18881118;
http://atl2java.ame13.big.tuwien.ac.at/1.0;14.0;20.0;12.0;2.0;2.0;10.0;1.5;45.5;0.33333334;
